ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT,image
0.9999937415122986,1.4557345551224898e-08,3.024574080773279e-12,1.2105885684090406e-13,1.2116192645855829e-20,2.9819577918033247e-09,5.252955709300622e-11,6.259932433749782e-06,img_04963.jpg
0.9901413321495056,0.00204893943737261,0.00017357766773784533,2.7072210286860354e-05,3.971091566690177e-09,0.0002309142582817003,7.330814923989237e-06,0.007370910083409399,img_06393.jpg
1.0,1.0764261559198258e-14,5.915924603446574e-18,7.51185574817349e-21,0.0,1.1092233520394678e-21,3.139946101302182e-22,3.376570203994511e-11,img_06439.jpg
0.9999957084655762,1.744149784599358e-07,1.978058463691923e-07,1.1690362100580387e-07,1.2542819215188602e-17,3.6426113183551934e-06,1.2681212524512375e-08,1.7894598158818553e-07,img_03376.jpg
0.9956498146057129,0.0011284524189250078,9.422712537343614e-05,7.363859140241402e-06,2.4125329945584584e-09,0.00048634478662279435,1.686885362062185e-05,0.0026169994066549407,img_00869.jpg
0.0005663196207024157,0.0004951248411089182,5.89684204896912e-05,6.287332432464154e-09,3.4868070236671045e-11,1.724917456158437e-05,1.631021007142408e-08,0.9988623261451721,img_06226.jpg
0.9939495325088501,2.3239634174387902e-05,0.00022685866861138493,2.1521813664548972e-07,4.990816353939165e-12,1.724768844724167e-05,2.091224615696774e-08,0.005782826337963343,img_07640.jpg
0.9998288750648499,1.3791843684884952e-06,6.449618581427785e-07,1.173989794267527e-09,6.131340145884914e-14,1.6289728819174343e-06,4.3272279981465545e-06,0.00016312145453412086,img_03479.jpg
0.9999735951423645,1.6857489754329436e-05,1.382957637297011e-09,2.965219625394866e-09,1.694734091007421e-17,9.52655500441324e-06,1.8583631161694925e-11,3.1665805977354466e-08,img_04303.jpg
0.9388689398765564,0.010667303577065468,7.974013715283945e-05,4.427368185133673e-05,8.960976174421376e-07,0.008710280060768127,0.0023504989221692085,0.03927811607718468,img_02393.jpg
0.9994276762008667,1.240440951733035e-06,2.2411563715962757e-09,9.901522657340678e-11,7.501968320017385e-17,4.120048302524992e-08,3.313766969159637e-11,0.0005710187251679599,img_06999.jpg
0.9935393333435059,7.910026397439651e-06,4.2451553383671126e-08,4.112439000891754e-06,3.5139670036613e-14,0.0063508679158985615,1.0959891660888843e-08,9.783113637240604e-05,img_01878.jpg
2.99031563399943e-11,1.1607930599805832e-13,1.1661339754075184e-13,3.719700850986427e-17,1.595557286555023e-21,2.631717073438126e-16,1.0,2.1603851152462994e-08,img_01298.jpg
0.00045228336239233613,0.9052397012710571,3.4653652392080403e-07,1.6155214552782127e-06,8.582295291104103e-11,2.8206639512973197e-07,2.5092642630397677e-08,0.09430567920207977,img_06532.jpg
0.4259829375857862,0.5711662322282791,8.022978011098158e-06,5.477896631905857e-06,4.512757667879146e-10,0.0026727775115566437,5.392537904418141e-07,0.00016398559467800666,img_03287.jpg
0.9999999403953552,4.651155194324019e-08,2.466954375154873e-12,1.0898056003634526e-13,8.737158328963772e-24,1.730211633688139e-11,1.7083086476375633e-15,1.0524883187201794e-08,img_00206.jpg
6.864750901058869e-08,2.9396909440038144e-07,1.179946002016763e-10,7.157909790063421e-13,3.115147969707924e-19,7.66566308043129e-14,2.0325372786754448e-13,0.9999996423721313,img_02918.jpg
6.750447312242613e-08,1.690457364746708e-14,1.862430294621159e-14,2.047716377493807e-17,2.47015952142983e-23,0.9999999403953552,5.264905231347396e-15,3.6169428997007147e-12,img_04448.jpg
0.9999814033508301,9.656285726578062e-08,9.022797786695236e-11,1.576300613474746e-12,1.022370680191107e-19,3.314271879162334e-08,3.2327547756783037e-12,1.8402057321509346e-05,img_04630.jpg
0.9997433423995972,3.4181700812041527e-06,3.927887519239448e-05,2.016929465753492e-05,6.71119301624834e-13,8.528490980097558e-07,6.968924992634129e-08,0.00019292274373583496,img_03215.jpg
0.9999151229858398,2.947265784314368e-05,6.40512826066697e-06,1.6232559573836625e-05,3.0099224978749617e-13,1.356211487291148e-05,6.500570037815123e-08,1.911700383061543e-05,img_02698.jpg
0.9900823831558228,5.304297883412801e-05,1.8880026573242503e-06,4.383107921057672e-07,2.6600820070971087e-12,1.8977906393047306e-06,1.095629431802081e-05,0.00984939094632864,img_02107.jpg
1.0,1.3019400648600009e-16,2.2896075617977416e-22,2.3903415355304165e-17,0.0,1.4241431887264272e-21,2.026056731079995e-25,1.8464694833894568e-13,img_03798.jpg
1.0,2.1134550815156417e-13,2.302082620774681e-21,1.8693248120368224e-22,0.0,3.2421318259621777e-19,3.5648651917069206e-24,7.678345806394482e-12,img_02816.jpg
1.0202355952060316e-05,5.569975655816961e-06,1.0281957577018552e-11,1.8360128955369204e-12,8.61129229857837e-17,1.5189041691066052e-10,3.527206970943553e-08,0.9999842047691345,img_05903.jpg
0.9916683733463287,0.006983253355429042,1.1164517042451527e-05,1.5432754296371143e-07,1.0805769125617838e-11,0.0013326853314481468,3.0324315284518955e-07,4.136771906360082e-06,img_07280.jpg
0.9932464510202408,0.00673100778527469,1.0897519435645673e-08,1.5632182759537278e-07,1.437930134120355e-13,1.3618321012360107e-05,1.07686498560566e-08,8.733515588388308e-06,img_06064.jpg
4.03097971002353e-07,7.710843055974692e-05,4.260337200211184e-13,5.5778860229402285e-15,2.9700043082235418e-21,2.7195536489145683e-15,8.61167047231954e-15,0.999922513961792,img_07602.jpg
0.9995639324188232,3.868423300446011e-05,1.8411619748803787e-05,1.2017626005444981e-08,6.128546970038048e-14,5.764532033936121e-07,8.353924840776017e-08,0.00037825602339580655,img_05383.jpg
0.994031548500061,6.445052713388577e-05,0.0005269410903565586,1.764021180861164e-05,2.099189266857593e-09,0.0009881951846182346,2.6611089197103865e-05,0.004344511777162552,img_07566.jpg
